Macro;Curva IS-LM;Se o Banco Central brasileiro decidir diminuir a oferta monetária por meio de operações de mercado aberto, o que terá de fazer?;Comprar títulos públicos;Vender títulos públicos;Se o BACEN quer diminuir a oferta da moeda, ele tem que captar a moeda do público, portanto, ele deve vender títulos públicos e ficar com a moeda - assim, terá menos moeda em circulação. Isso causaria um aumento na taxa de juros.;FALSE
Macro;Estruturas de economia;Macroeconomia é o estudo da estrutura de economias nacionais e das políticas econômicas exercidas pelos seus governos, com o objetivo de melhorar o desempenho econômico doméstico. NÃO se considera como uma questão pertencente ao ramo da Macroeconomia aquela que ;Causa desemprego;Causa o desequilíbrio entre oferta e demanda de produtos;A causa do desequilíbrio entre a oferta e demanda de produtos é vista pela Microeconomia; o item faz referência a produtos (refere-se a eles individualmente) e não ao conjunto agregado destes produtos, que representaria o mercado de bens e serviços e seria objeto da Macro.;FALSE
Macro;Equlibrio orçamentário;Considere um país que inicialmente esteja em equilíbrio real, monetário e externo. considere também que este país apresente uma curva de oferta agregada positivamente inclinada. Se o governo então adotar uma política fiscal contracionista (e nada mais), o que se pode esperar que aconteça no curto prazo caso o governo também deseje uma taxa de câmbio nominal estável (constante)?;Melhora do orçamento público ;Piora do orçamento público;Política fiscal contracionista quer dizer que o governo aumentará tributação e/ou diminuirá gastos, levando NG (= Gastos - Tributação) para baixo (e consequentemente melhorando o orçamento público), o que deslocará a IS para esquerda entrando em um novo equilíbrio com a LM, tendo uma queda no indice geral de preços P e no produto Y.;TRUE
Micro;Elasticidade prática;A área que estuda precificação da Apple realizou um teste de elasticidade no novo IPhone X e concluiu que a elasticidade do preço na demanda é dada como "Inelástica". Isso indica que, ao diminuir o preço desse produto, a quantidade de vendas tende a aumentar. Essa afirmação é:;Correta;Incorreta;Em sentido genérico, é a alteração percentual de uma variável, dada a alteração percentual em outra. Assim, elasticidade é sinônimo de sensibilidade, resposta, reação de uma variável, em face de mudanças em outras variáveis, ou seja, a mudança do preço do produto não impactará muito nas vendas dado que o produto foi classificado como "inelástico".;FALSE
Micro;Efeitos preço, renda e substituição;Em relação aos efeitos preço, renda e substituição em uma microeconomia, julgue os itens seguintes. Dois bens são complementares se a elasticidade-preço cruzada da demanda é positiva;Correta;Incorreta;incorreta, caso os bens fossem complementares, e não substitutos, é esperado que a elasticidade cruzada da demanda entre eles seja negativa, pois é com o aumento do preço de um produto a demanda de seu complementar deveria diminuir gerando uma elasticidade-preço cruzada da demanda negativa.;FALSE
Micro;Juros;Qual a entidade responsável por definir a taxa de juros básica da economia e estabelecer as regras de inflação e emissão de notas?;Copom;Receita;O Copom, como é conhecido o Comitê de Política Monetária, foi criado em 1996 para traçar a política monetária do país e estabelecer diretrizes a respeito da taxa de juros de forma transparente.;TRUE
Micro;Mercado;Acerca de introdução aos problemas econômicos, de escassez e escolha e de livre mercado, assinale a alternativa correta;Serviços é a denominação usual de coisas intangíveis, resultantes das atividades primárias e terciárias de produção;As necessidades humanas são ilimitadas, e os recursos produtivos existentes na natureza são escassos.;Este princípio é um dos fundamentos da economia, como as necessidades humanas são ilimitadas e os bens e recursos que as atendem não são, é preciso produzi-los e os alocar da maneira mais eficiente possível, de forma a maximizar o bem-estar da sociedade;FALSE
Macro;Taxa de juros;Considerando que a "ata de reunião do COPOM" (BACEN) sinaliza que haverá aumento da taxa de juros num futuro próximo, o momento atual é o melhor momento para investir em renda fixa pré-fixada?;Sim;Não;Como o BACEN está definindo que a taxa de juros vai subir, então o momento ideal para investir é quando esse aumento acontecer.;FALSE
Macro;Câmbio;Considerando que o câmbio do país está valorizado, seria um bom momento para empresas multinacionais estrangeiras investirem no país?;Sim;Não;Com o câmbio valorizado, o poder de investimento da empresa estrangeira fica reduzido.;FALSE
Micro;Elasticidade, preço, renda e demanda;Suponha Ep = ([delta]qd/[delta]p).(p/qd) a elasticidade preço da demanda e Ey = ([delta]qd/[delta]y).(y/qd) a elasticidade renda da demanda, em que [delta]qd = variação da quantidade demandada, [delta]p = variação no preço do bem, p = preço do bem, qd = quantidade demandada do bem, [delta]y = variação na renda, e y = renda do consumidor. Com base nessas informações, é correto afirmar que: ; Ey pode ser negativa. ; Ep pode ser positiva. ;A elasticidade-renda da demanda (Ey) pode assumir valores positivos e negativas. Se negativa, indica que uma variação positiva na renda provoca variação negativa na demanda pelo bem. Este é o caso dos bens inferiores. Portanto, o item está correto e foi considerado o gabarito da questão. ;TRUE
